T1 P15 D8.000000 Z+65.684292 ; New Tool
T2 P10 D3.300000 Z+56.221209 ; Drill
T3 P14 D8.000000 Z+59.566292 ; New Tool
T8 P8 D2.000000 Z+140.924625 ; New Tool
T9 P9 D4.000000 Z+65.825459 ; New Tool
T10 P10 D2.500000 Z+131.113292 ; New Tool
T11 P4 D5.000000 Z+134.828792 ; New Tool
T12 P12 D10.000000 Z+57.883959 ; New Tool
T20 P11 D2.000000 Z+53.679625 ; New Tool
T21 P99 D6.000000 Z+59.136209 ; New Tool
T22 P99 D6.000000 Z+57.881542 ; New Tool
T30 P6 D3.000000 Z+57.264959 ; New Tool
T32 P5 D3.175000 Z+56.149375 ; Probe Tool 2mm ball Probe Tip
T40 P7 D4.000000 Z+59.572042 ; New Tool
T49 P10 D4.000000 Z+50.750709 ; New Tool
T50 P99 D5.000000 Z+60.113959 ; New Tool
T60 P4 D6.000000 Z+61.693459 ; New Tool
T61 P99 D6.000000 Z+69.082542 ; New Tool
T62 P4 D6.000000 Z+64.665792 ; New Tool
T69 P3 D6.000000 Z+57.771542 ; New Tool
T80 P2 D8.000000 Z+65.660959 ; New Tool
T93 P99 D4.800000 Z+57.682292 ; M6
T94 P99 D6.000000 Z+63.956375 ; M8
T100 P1 D10.000000 Z+56.218209 ; Spindle Nose
T130 P130 D13.000000 Z+61.952875 ; New Tool
T190 P9 D2.400000 Z+54.822709 ; M3
T191 P99 D3.150000 Z+54.975542 ; M4
T192 P99 D4.000000 Z+57.483875 ; M5
T199 P199 D3.000000 Z+100.156792 ; probe
